carnivorous blob,25600,n,ooze,any,any,bestiary 2 51,0,0
catoblepas,19200,n,magical beast,any,swamp,bestiary 2 52,0,0
giant whiptail centipede,800,n,vermin,temperate warm,forest underground,bestiary 2 53,0,0
titan centipede,6400,n,vermin,temperate warm,forest underground,bestiary 2 53,0,0
chaos beast,3200,cn,outsider,any,any,bestiary 2 54,0,0
charda,3200,cn,monstrous humanoid,cold,aquatic underground,bestiary 2 55,0,0
charybdis,25600,cn,aberration,any,ocean,bestiary 2 56,0,0
chupacabra,800,n,magical beast,warm,hill plain,bestiary 2 57,0,0
giant cockroach,200,n,vermin,any,land,bestiary 2 58,0,0
cockroach swarm,600,n,vermin,temperate warm,urban,bestiary 2 58,0,0
crawling hand,200,ne,undead,any,land,bestiary 2 59,0,0
giant crawling hand,1600,ne,undead,any,land underground,bestiary 2 58,0,0
crypt thing,1600,ne,undead,any,underground,bestiary 2 60,0,0
crysmal,800,n,outsider,plane of earth,underground,bestiary 2 61,0,0
astradaemon,76800,ne,outsider,abaddon astral plane,any,bestiary 2 63,0,0
cacodaemon,600,ne,outsider,abaddon,any,bestiary 2 64,0,0
ceustodaemon,2400,ne,outsider,abaddon,any,bestiary 2 65,0,0
derghodaemon,19200,ne,outsider,abaddon,any,bestiary 2 66,0,0
hydrodaemon,4800,ne,outsider,abaddon,any,bestiary 2 67,0,0
leukodaemon,6400,ne,outsider,abaddon,any,bestiary 2 68,0,0
meladaemon,12800,ne,outsider,abaddon,any,bestiary 2 69,0,0
olethrodaemon,307200,ne,outsider,abaddon,any,bestiary 2 70,0,0
piscodaemon,9600,ne,outsider,abaddon,any,bestiary 2 72,0,0
purrodaemon,153600,ne,outsider,abaddon,any,bestiary 2 73,0,0
thanadaemon,25600,ne,outsider,abaddon,any,bestiary 2 74,0,0
dark slayer,600,ce,humanoid,any,underground,bestiary 2 75,0,0
death worm,2400,n,magical beast,warm,desert plain hill,bestiary 2 76,0,0
decapus,1200,ce,aberration,temperate,forest underground,bestiary 2 77,0,0
kalavakus,9600,ce,outsider,abyss,any,bestiary 2 78,0,0
omox,19200,ce,outsider,abyss,any,bestiary 2 79,0,0
shemhazian,76800,ce,outsider,abyss,any,bestiary 2 80,0,0
vrolikai,204800,ce,outsider,abyss,any,bestiary 2 81,0,0
denizen of leng,4800,ce,outsider,any,land,bestiary 2 82,0,0
destrachan,4800,ne,aberration,any,underground,bestiary 2 83,0,0
accuser devil,800,le,outsider,hell,any,bestiary 2 84,0,0
belier devil,76800,le,outsider,hell,any,bestiary 2 85,0,0
handmaiden devil,38400,le,outsider,hell,any,bestiary 2 86,0,0
immolation devil,204800,le,outsider,hell,any,bestiary 2 87,0,0
devilfish,1200,ne,magical beast,any,aquatic,bestiary 2 88,0,0
dhampir,200,ce,humanoid,any,land,bestiary 2 89,0,0
allosaurus,3200,n,animal,temperate warm,forest plain,bestiary 2 90,0,0
compsognathus,200,n,animal,temperate warm,forest plain,bestiary 2 90,0,0
parasaurolophus,1200,n,animal,warm,forest plain,bestiary 2 91,0,0
tylosaurus,4800,n,animal,warm,aquatic,bestiary 2 91,0,0
wyrmling brine dragon,800,ln,dragon,plane of water,aquatic,bestiary 2 94,0,0
very young brine dragon,1600,ln,dragon,plane of water,aquatic,bestiary 2 94,0,0
young brine dragon,3200,ln,dragon,plane of water,aquatic,bestiary 2 94,0,0
juvenile brine dragon,4800,ln,dragon,plane of water,aquatic,bestiary 2 94,0,0
young adult brine dragon,9600,ln,dragon,plane of water,aquatic,bestiary 2 94,0,0
adult brine dragon,12800,ln,dragon,plane of water,aquatic,bestiary 2 94,0,0
mature adult brine dragon,19200,ln,dragon,plane of water,aquatic,bestiary 2 94,0,0
old brine dragon,38400,ln,dragon,plane of water,aquatic,bestiary 2 94,0,0
very old brine dragon,51200,ln,dragon,plane of water,aquatic,bestiary 2 94,0,0
ancient brine dragon,76800,ln,dragon,plane of water,aquatic,bestiary 2 94,0,0
wyrm brine dragon,102400,ln,dragon,plane of water,aquatic,bestiary 2 94,0,0
great wyrm brine dragon,204800,ln,dragon,plane of water,aquatic,bestiary 2 94,0,0
wyrmling cloud dragon,1600,cn,dragon,plane of air,air,bestiary 2 96,0,0
very young cloud dragon,3200,cn,dragon,plane of air,air,bestiary 2 96,0,0
young cloud dragon,6400,cn,dragon,plane of air,air,bestiary 2 96,0,0
juvenile cloud dragon,9600,cn,dragon,plane of air,air,bestiary 2 96,0,0
young adult cloud dragon,19200,cn,dragon,plane of air,air,bestiary 2 96,0,0
adult cloud dragon,25600,cn,dragon,plane of air,air,bestiary 2 96,0,0
mature adult cloud dragon,38400,cn,dragon,plane of air,air,bestiary 2 96,0,0
old cloud dragon,76800,cn,dragon,plane of air,air,bestiary 2 96,0,0
very old cloud dragon,102400,cn,dragon,plane of air,air,bestiary 2 96,0,0
ancient cloud dragon,153600,cn,dragon,plane of air,air,bestiary 2 96,0,0
wyrm cloud dragon,204800,cn,dragon,plane of air,air,bestiary 2 96,0,0
great wyrm cloud dragon,409600,cn,dragon,plane of air,air,bestiary 2 96,0,0
wyrmling crystal dragon,600,ln,dragon,plane of earth,underground,bestiary 2 98,0,0
very young crystal dragon,1200,ln,dragon,plane of earth,underground,bestiary 2 98,0,0
young crystal dragon,2400,ln,dragon,plane of earth,underground,bestiary 2 98,0,0
juvenile crystal dragon,3200,ln,dragon,plane of earth,underground,bestiary 2 98,0,0
young adult crystal dragon,6400,ln,dragon,plane of earth,underground,bestiary 2 98,0,0
adult crystal dragon,9600,ln,dragon,plane of earth,underground,bestiary 2 98,0,0
mature adult crystal dragon,12800,ln,dragon,plane of earth,underground,bestiary 2 98,0,0
old crystal dragon,25600,ln,dragon,plane of earth,underground,bestiary 2 98,0,0
very old crystal dragon,38400,ln,dragon,plane of earth,underground,bestiary 2 98,0,0
ancient crystal dragon,51200,ln,dragon,plane of earth,underground,bestiary 2 98,0,0
wyrm crystal dragon,76800,ln,dragon,plane of earth,underground,bestiary 2 98,0,0
great wyrm crystal dragon,153600,ln,dragon,plane of earth,underground,bestiary 2 98,0,0
wyrmling magma dragon,1200,cn,dragon,plane of fire,mountain underground,bestiary 2 100,0,0
very young magma dragon,2400,cn,dragon,plane of fire,mountain underground,bestiary 2 100,0,0
young magma dragon,4800,cn,dragon,plane of fire,mountain underground,bestiary 2 100,0,0
juvenile magma dragon,6400,cn,dragon,plane of fire,mountain underground,bestiary 2 100,0,0
young adult magma dragon,12800,cn,dragon,plane of fire,mountain underground,bestiary 2 100,0,0
adult magma dragon,19200,cn,dragon,plane of fire,mountain underground,bestiary 2 100,0,0
mature adult magma dragon,25600,cn,dragon,plane of fire,mountain underground,bestiary 2 100,0,0
old magma dragon,51200,cn,dragon,plane of fire,mountain underground,bestiary 2 100,0,0
very old magma dragon,76800,cn,dragon,plane of fire,mountain underground,bestiary 2 100,0,0
ancient magma dragon,102400,cn,dragon,plane of fire,mountain underground,bestiary 2 100,0,0
wyrm magma dragon,153600,cn,dragon,plane of fire,mountain underground,bestiary 2 100,0,0
great wyrm magma dragon,307200,cn,dragon,plane of fire,mountain underground,bestiary 2 100,0,0
wyrmling umbral dragon,2400,ce,dragon,plane of shadow,any,bestiary 2 102,0,0
very young umbral dragon,4800,ce,dragon,plane of shadow,any,bestiary 2 102,0,0
young umbral dragon,9600,ce,dragon,plane of shadow,any,bestiary 2 102,0,0
juvenile umbral dragon,12800,ce,dragon,plane of shadow,any,bestiary 2 102,0,0
young adult umbral dragon,25600,ce,dragon,plane of shadow,any,bestiary 2 102,0,0
adult umbral dragon,38400,ce,dragon,plane of shadow,any,bestiary 2 102,0,0
mature adult umbral dragon,51200,ce,dragon,plane of shadow,any,bestiary 2 102,0,0
old umbral dragon,102400,ce,dragon,plane of shadow,any,bestiary 2 102,0,0
very old umbral dragon,153600,ce,dragon,plane of shadow,any,bestiary 2 102,0,0
ancient umbral dragon,204800,ce,dragon,plane of shadow,any,bestiary 2 102,0,0
wyrm umbral dragon,307200,ce,dragon,plane of shadow,any,bestiary 2 102,0,0
great wyrm umbral dragon,614400,ce,dragon,plane of shadow,any,bestiary 2 102,0,0
dragon horse,6400,ng,magical beast,any,any,bestiary 2 104,0,0
giant dragonfly,1200,n,vermin,temperate warm,land,bestiary 2 105,0,0
giant dragonfly nymph,800,n,vermin,temperate warm,aquatic,bestiary 2 105,0,0
flame drake,1600,ce,dragon,temperate,mountain hill,bestiary 2 106,0,0
forest drake,1200,le,dragon,any,forest,bestiary 2 107,0,0
frost drake,3200,ce,dragon,cold,mountain,bestiary 2 108,0,0
sea drake,2400,ne,dragon,any,coastline,bestiary 2 109,0,0
draugr,600,ce,undead,any,coastline,bestiary 2 110,0,0
dullahan,3200,le,undead,any,any,bestiary 2 111,0,0
dust digger,1200,n,aberration,warm,desert,bestiary 2 112,0,0
d'ziriak,800,n,outsider,plane of shadow,land,bestiary 2 113,0,0
small ice elemental,400,n,outsider,plane of water,any,bestiary 2 114,0,0
medium ice elemental,800,n,outsider,plane of water,any,bestiary 2 114,0,0
large ice elemental,1600,n,outsider,plane of water,any,bestiary 2 114,0,0
huge ice elemental,3200,n,outsider,plane of water,any,bestiary 2 114,0,0
greater ice elemental,6400,n,outsider,plane of water,any,bestiary 2 114,0,0
elder ice elemental,12800,n,outsider,plane of water,any,bestiary 2 114,0,0
small lightning elemental,400,n,outsider,plane of air,any,bestiary 2 116,0,0
medium lightning elemental,800,n,outsider,plane of air,any,bestiary 2 116,0,0
large lightning elemental,1600,n,outsider,plane of air,any,bestiary 2 116,0,0
huge lightning elemental,3200,n,outsider,plane of air,any,bestiary 2 116,0,0
greater lightning elemental,6400,n,outsider,plane of air,any,bestiary 2 116,0,0
elder lightning elemental,12800,n,outsider,plane of air,any,bestiary 2 116,0,0
small magma elemental,400,n,outsider,plane of fire,any,bestiary 2 118,0,0
medium magma elemental,800,n,outsider,plane of fire,any,bestiary 2 118,0,0
large magma elemental,1600,n,outsider,plane of fire,any,bestiary 2 118,0,0
huge magma elemental,3200,n,outsider,plane of fire,any,bestiary 2 118,0,0
greater magma elemental,6400,n,outsider,plane of fire,any,bestiary 2 118,0,0
elder magma elemental,12800,n,outsider,plane of fire,any,bestiary 2 118,0,0
small mud elemental,400,n,outsider,plane of earth,any,bestiary 2 120,0,0
medium mud elemental,800,n,outsider,plane of earth,any,bestiary 2 120,0,0
large mud elemental,1600,n,outsider,plane of earth,any,bestiary 2 120,0,0
huge mud elemental,3200,n,outsider,plane of earth,any,bestiary 2 120,0,0
greater mud elemental,6400,n,outsider,plane of earth,any,bestiary 2 120,0,0
elder mud elemental,12800,n,outsider,plane of earth,any,bestiary 2 120,0,0
faceless stalker,1200,ce,aberration,any,swamp underground,bestiary 2 122,0,0
fetchling,200,n,outsider,plane of shadow,any,bestiary 2 123,0,0
giant fly,400,n,vermin,temperate tropical,any,bestiary 2 124,0,0
giant maggot,200,n,vermin,temperate tropical,any,bestiary 2 124,0,0
forlarren,600,ne,fey,temperate,plain forest,bestiary 2 125,0,0
frost worm,19200,n,magical beast,cold,plain mountain,bestiary 2 126,0,0
fungal crawler,800,n,aberration,any,underground,bestiary 2 127,0,0
gar,400,n,animal,temperate,freshwater,bestiary 2 128,0,0
giant gar,2400,n,animal,temperate,freshwater,bestiary 2 128,0,0
marsh giant,4800,ce,humanoid,temperate,marsh,bestiary 2 129,0,0
rune giant,102400,le,humanoid,cold,mountain,bestiary 2 130,0,0
taiga giant,19200,cn,humanoid,cold,mountain forest,bestiary 2 131,0,0
wood giant,2400,cg,humanoid,temperate,forest,bestiary 2 132,0,0
gloomwing,1200,n,outsider,plane of shadow,any,bestiary 2 133,0,0
adamantine golem,204800,n,construct,any,any,bestiary 2 134,0,0
alchemical golem,6400,n,construct,any,any,bestiary 2 135,0,0
carrion golem,1200,n,construct,any,any,bestiary 2 136,0,0
clockwork golem,19200,n,construct,any,any,bestiary 2 137,0,0
glass golem,4800,n,construct,any,any,bestiary 2 138,0,0
mithral golem,76800,n,construct,any,any,bestiary 2 139,0,0
gray render,4800,n,magical beast,temperate,marsh,bestiary 2 140,0,0
jinkin,400,ce,fey,any,urban underground,bestiary 2 142,0,0
nuglub,600,ce,fey,any,underground urban,bestiary 2 143,0,0
pugwampi,200,ne,fey,warm,hill,bestiary 2 144,0,0
vexgit,400,le,fey,any,underground urban,bestiary 2 145,0,0
grick,800,n,aberration,any,underground,bestiary 2 146,0,0
grig,400,ng,fey,temperate,forest,bestiary 2 147,0,0
grindylow,200,ce,aberration,any,aquatic,bestiary 2 148,0,0
grippli,200,n,humanoid,warm,forest marsh,bestiary 2 149,0,0
gryph,400,ne,magical beast,temperate,forest underground,bestiary 2 150,0,0
gug,9600,ce,aberration,any,underground,bestiary 2 151,0,0
hangman tree,3200,ne,plant,temperate,forest,bestiary 2 152,0,0
hellcat,3200,le,outsider,hell,land,bestiary 2 153,0,0
camel,400,n,animal,warm,desert,bestiary 2 154,0,0
ram,400,n,animal,temperate,mountain,bestiary 2 154,0,0
hippocampus,400,n,magical beast,any,aquatic,bestiary 2 155,0,0
hippogriff,600,n,magical beast,temperate,hill plain,bestiary 2 156,0,0
hippopotamus,1600,n,animal,warm,river,bestiary 2 157,0,0
behemoth hippopotamus,9600,n,animal,warm,river,bestiary 2 157,0,0
hound of tindalos,3200,ne,outsider,any,any,bestiary 2 158,0,0
howler,800,ce,outsider,abyss,land,bestiary 2 159,0,0
ifrit,200,n,outsider(naitive),any,any,bestiary 2 160,0,0
arbiter,600,ln,outsider,lawful plane,any,bestiary 2 162,0,0
kolyarut,19200,ln,outsider,lawful plane,any,bestiary 2 163,0,0
lhaksharut,307200,ln,outsider,lawful plane,any,bestiary 2 164,0,0
marut,51200,ln,outsider,lawful plane,any,bestiary 2 166,0,0
zelekhut,6400,ln,outsider,lawful plane,any,bestiary 2 167,0,0
jabberwock,819200,ce,dragon,any,forest,bestiary 2 168,0,0
giant jellyfish,600,n,vermin,any,ocean,bestiary 2 170,0,0
jellyfish swarm,2400,n,vermin,any,aquatic,bestiary 2 170,0,0
jyoti,6400,n,outsider,positive engergy plane,any,bestiary 2 171,0,0
kelpie,1200,ne,fey,any,aquatic,bestiary 2 172,0,0
korred,1200,cn,fey,temperate,forest,bestiary 2 173,0,0
krenshar,400,n,magical beast,temperate,forest plain,bestiary 2 174,0,0
lamia matriarch,4800,ce,monstrous humanoid,any,land,bestiary 2 175,0,0
leng spider,38400,ce,magical beast,any,any,bestiary 2 176,0,0
leprechaun,600,cn,fey,temperate,forest,bestiary 2 177,0,0
leucrotta,1600,ce,magical beast,temperate tripical,forest hill,bestiary 2 178,0,0
locathah,200,n,humanoid,temperate warm,aquatic,bestiary 2 179,0,0
lurker in light,1600,ne,fey,any,any,bestiary 2 180,0,0
werebear,1200,cg,humanoid,any,forest,bestiary 2 181,0,0
wereboar,600,cn,humanoid,any,forest plain,bestiary 2 182,0,0
weretiger,1200,ne,humanoid,any,plain swamp,bestiary 2 183,0,0
magma ooze,3200,n,ooze,any,volcano underground,bestiary 2 184,0,0
mandragora,1200,ce,plant,cold temperate,forest,bestiary 2 185,0,0
arsinoitherium,600,n,animal,temperate,plain,bestiary 2 186,0,0
gylptodon,2400,n,animal,temperate,plain,bestiary 2 186,0,0
megaloceros,1200,n,animal,cold temperate,forest plain,bestiary 2 187,0,0
megatherium,1600,n,animal,temperate warm,forest,bestiary 2 187,0,0
mercane,1600,ln,outsider,any,land underground,bestiary 2 188,0,0
merrow,800,ne,humanoid,temperate,lake,bestiary 2 189,0,0
saltwater merrow,2400,ne,humanoid,temperate,ocean,bestiary 2 189,0,0
mihstu,4800,ne,outsider,plane of air,any,bestiary 2 190,0,0
mongrelman,400,ln,monstrous humanoid,any,ruin underground,bestiary 2 191,0,0
moonflower,4800,n,plant,any,land,bestiary 2 192,0,0
giant mosquito,2400,n,vermin,temperate tropical,swamp,bestiary 2 193,0,0
mosquito swarm,800,n,vermin,tropical,swamp,bestiary 2 193,0,0
mothman,2400,cn,monstrous humanoid,any,land,bestiary 2 194,0,0
mu spore,409600,cn,plant,any,any,bestiary 2 195,0,0
necrophidius,800,n,construct,any,any,bestiary 2 196,0,0
neh-thalggu,4800,ce,aberration,any,any,bestiary 2 197,0,0
nereid,9600,cn,fey,any,aquatic,bestiary 2 198,0,0
nightcrawler,153600,ce,undead,negative energy plane,any,bestiary 2 200,0,0
nightwalker,76800,ce,undead,negative energy plane,any,bestiary 2 201,0,0
nightwave,307200,ce,undead,negative energy plane,any,bestiary 2 202,0,0
nightwing,38400,ce,undead,negative energy plane,any,bestiary 2 203,0,0
ogrekin,600,ce,humanoid,any,any,bestiary 2 204,0,0
oread,200,n,outsider(native),any,any,bestiary 2 205,0,0
pech,800,n,fey,any,underground,bestiary 2 206,0,0
peryton,1200,ce,magical beast,any,any,bestiary 2 207,0,0
petitioner,400,ne ce cg lg le cn ng n ln,outsider,outer planes,any,bestiary 2 208,0,0
phycomid,1200,n,plant,any,underground,bestiary 2 210,0,0
poltergeist,600,le,undead,any,any,bestiary 2 211,0,0
baboon,200,n,animal,warm,forest plain,bestiary 2 212,0,0
monkey swarm,600,n,animal,warm,forest,bestiary 2 212,0,0
imentesh,9600,cn,outsider,limbo,any,bestiary 2 214,0,0
keketary,102400,cn,outsider,limbo,any,bestiary 2 215,0,0
naunet,3200,cn,outsider,limbo,any,bestiary 2 216,0,0
voidworm,600,cn,outsider,limbo,any,bestiary 2 217,0,0
augnagar,38400,ce,outsider,abyss,any,bestiary 2 219,0,0
chernobue,19200,ce,outsider,abyss,any,bestiary 2 220,0,0
cythnigot,600,ce,outsider,abyss,any,bestiary 2 221,0,0
iathavos,307200,ce,outsider,abyss,any,bestiary 2 222,0,0
nyogoth,9600,ce,outsider,abyss,any,bestiary 2 224,0,0
shoggti,3200,ce,outsider,abyss,any,bestiary 2 225,0,0
thulgant,153600,ce,outside,abyss,any,bestiary 2 226,0,0
quickling,800,ce,fey,temperate,forest,bestiary 2 227,0,0
quickwood,4800,n,plant,temperate,forest,bestiary 2 228,0,0
rast,1600,n,outsider,plane of fire,any,bestiary 2 229,0,0
ravener,614400,ce,undead,warm,mountains,bestiary 2 230,0,0
manta ray,400,n,anima,warm,ocean,bestiary 2 232,0,0
stingray,200,n,anima,warm,ocean,bestiary 2 232,0,0
redcap,2400,ne,fey,temperate,forest mountain underground,bestiary 2 233,0,0
reefclaw,400,cn,aberration,any,coastline,bestiary 2 234,0,0
revenant,2400,le,undead,any,any,bestiary 2 235,0,0
sandman,800,ne,outsider,plane of earth,land,bestiary 2 236,0,0
sard,204800,ce,plant,any,forest,bestiary 2 237,0,0
scarecrow,1200,n,construct,any,any,bestiary 2 238,0,0
sceaduinar,3200,ne,outsider,negative energy plane,any,bestiary 2 239,0,0
black scorpion,51200,n,vermin,warm,desert,bestiary 2 240,0,0
cave scorpion,400,n,vermin,any,underground,bestiary 2 240,0,0
scylla,76800,ce,aberration,any,aquatic,bestiary 2 241,0,0
serpentfolk,1200,ne,monstrous humanoid,any,jungle underground,bestiary 2 242,0,0
seugathi,2400,ce,aberration,any,underground,bestiary 2 243,0,0
shantak,4800,ce,magical beast,cold,mountain,bestiary 2 244,0,0
shining child,19200,ce,outsider,any,any,bestiary 2 245,0,0
sinspawn,600,ne,aberration,any,ruin,bestiary 2 246,0,0
siren,1600,cn,magical beast,temperate warm,hill,bestiary 2 247,0,0
skulk,400,ce,humanoid,any,any,bestiary 2 248,0,0
slime mold,600,n,ooze,temperate,forest,bestiary 2 249,0,0
slithering tracker,1200,n,ooze,any,ruin underground,bestiary 2 250,0,0
slurk,600,n,magical beast,temperate,swamp underground,bestiary 2 251,0,0
emperor cobra,1600,n,animal,temperate warm,swamp,bestiary 2 252,0,0
giant anaconda,9600,n,animal,warm,swamp,bestiary 2 252,0,0
giant solifugid,400,n,vermin,warm,desert,bestiary 2 253,0,0
albino cave solifugid,1200,n,vermin,any,underground,bestiary 2 253,0,0
soul eater,3200,ne,outsider,abaddon,any,bestiary 2 254,0,0
soulbound doll,600,n,construct,any,any,bestiary 2 255,0,0
giant black widow,800,n,vermin,any,land,bestiary 2 256,0,0
giant tarantula,4800,n,vermin,any,forest,bestiary 2 256,0,0
spriggan,800,ce,humanoid,any,hill forest,bestiary 2 257,0,0
sylph,200,n,outsider(native),any,any,bestiary 2 258,0,0
tendriculos,2400,n,plant,temperate warm,forest,bestiary 2 259,0,0
tenebrous worm,4800,n,outsider,plane of shadow,any,bestiary 2 260,0,0
tentamort,1200,n,aberration,any,marsh underground,bestiary 2 261,0,0
thoqqua,600,n,outsider,plane of fire,any,bestiary 2 262,0,0
thrasfyr,102400,ce,magical beast,any,any,bestiary 2 263,0,0
thunderbird,12800,n,magical beast,any,hill mountain,bestiary 2 264,0,0
giant tick,400,n,vermin,temperate,forest,bestiary 2 265,0,0
tick swarm,6400,n,vermin,temperate,forest,bestiary 2 265,0,0
elysian titan,409600,cg,outsider,elysium,any,bestiary 2 266,0,0
thanatotic titan,614400,ce,outsider,abyss,any,bestiary 2 267,0,0
giant toad,600,n,animal,temperate,forest plain swamp,bestiary 2 268,0,0
glacier toad,2400,n,magical beast,cold,hill glacier,bestiary 2 268,0,0
totenmaske,3200,ne,undead,any,any,bestiary 2 269,0,0
triton,600,ng,outsider,any,ocean,bestiary 2 270,0,0
ice troll,1200,ce,humanoid,cold,mountain underground,bestiary 2 271,0,0
rock troll,2400,ce,humanoid,any,underground,bestiary 2 272,0,0
snapping turtle,135,n,animal,temperate warm,aquatic coastline,bestiary 2 273,0,0
giant snapping turtle,6400,n,animal,temperate warm,aquatic coastline,bestiary 2 274,0,0
twigjack,800,ce,fey,temperate,forest,bestiary 2 274,0,0
undine,200,n,outsider(native),any,any,bestiary 2 275,0,0
urdefhan,800,ne,outsider,abaddon,any,bestiary 2 276,0,0
vampiric mist,800,ne,aberration,temperate warm,swamp underground,bestiary 2 277,0,0
vemerak,38400,ce,aberration,any,underground,bestiary 2 278,0,0
viper vine,25600,n,plant,temperate warm,forest swamp,bestiary 2 279,0,0
water orm,9600,n,magical beast,any,lake,bestiary 2 280,0,0
wendigo,102400,ce,outsider,cold,any,bestiary 2 281,0,0
whale,9600,n,animal,any,ocean,bestiary 2 282,0,0
great white whale,38400,n,animal,any,ocean,bestiary 2 282,0,0
winterwight,102400,ce,undead,cold,any,bestiary 2 283,0,0
witchfire,6400,ce,undead,any,swamp forest,bestiary 2 284,0,0
witchwyrd,2400,ln,monstrous humanoid,any,any,bestiary 2 285,0,0
worm that walks,38400,ne,vermin,any,any,bestiary 2 286,0,0
xacarba,51200,ce,outsider,abyss,any,bestiary 2 288,0,0
xtabay,200,n,plant,any,any,bestiary 2 289,0,0
yrthak,6400,n,magical beast,temperate,desert,bestiary 2 290,0,0
juju zombie,600,ne,undead,any,any,bestiary 2 291,0,0
